num_of_agents,items_per_agent,value_noise_ratio,alpha,algorithm,seed,success,max_overload,runtime,num_items,instance_size
10,6,0.0,1.0,hffd_nadav,4,1,-0.8999999999999773,0.0005771099968114,60,600
10,6,0.0,1.2,hffd_nadav,0,1,-0.4799999999999613,0.0004992309986846,60,600
10,6,0.0,1.2,hffd_nadav,1,1,-0.6399999999999864,0.0006601939967367,60,600
10,6,0.0,1.2,hffd_nadav,2,1,-0.9199999999999592,0.0007011730049271,60,600
10,6,0.0,1.2,hffd_nadav,3,1,-0.3999999999999772,0.0004897309991065,60,600
10,6,0.0,1.2,hffd_nadav,4,1,-0.8799999999999955,0.0008801499934634,60,600
10,6,0.3,0.8,hffd_nadav,0,1,-0.1626654904505926,0.0006542920018546,60,600
10,6,0.3,0.8,hffd_nadav,1,1,-0.1403839699392506,0.0007877809985075,60,600
10,6,0.3,0.8,hffd_nadav,2,1,-0.0209340874663439,0.0004856790037592,60,600
10,6,0.3,0.8,hffd_nadav,3,1,-0.5007537508328141,0.0004649089969461,60,600
10,6,0.3,0.8,hffd_nadav,4,1,-0.0445190542225759,0.0004363539919722,60,600
10,6,0.3,1.0,hffd_nadav,0,1,-0.041675933729607,0.0004696320102084,60,600
10,6,0.3,1.0,hffd_nadav,1,1,-0.4973608272756564,0.0005094669904792,60,600
10,6,0.3,1.0,hffd_nadav,2,1,-0.0384489317137308,0.0005015490023652,60,600
10,6,0.3,1.0,hffd_nadav,3,1,-0.1228082156816867,0.0005178740102564,60,600
10,6,0.3,1.0,hffd_nadav,4,1,-0.930404151181051,0.0006117430020822,60,600
10,6,0.3,1.2,hffd_nadav,0,1,-0.2444910845891854,0.0004611949989339,60,600
10,6,0.3,1.2,hffd_nadav,1,1,-1.0919034753433152,0.0005257989978417,60,600
10,6,0.3,1.2,hffd_nadav,2,1,-0.6490699818548364,0.0004301049921195,60,600
10,6,0.3,1.2,hffd_nadav,3,1,-0.8980662131399413,0.0004783449985552,60,600
10,6,0.3,1.2,hffd_nadav,4,1,-0.2127736475599135,0.0005386249977163,60,600
